##=============================================================================
## Dados retirados do http://www.whoscored.com/Regions/250/Tournaments/30/Seasons/3871/Stages/8466/TeamStatistics/Europe-UEFA-Europa-League-2013-2014
## country: País de origem do jogador;
## team   : Time no qual joga;
## name   : Nome do jogador;
## pos    : Posição em que joga;
##   FW      : forward;
##   AM      : attack midfielder;
##   M       : midfielder;
##   DM      : defender midfielder;
##   D       : defender;
##   GK      : goalkeeper;
##   C, L, R : center, left, right;
## age    : Idade (anos);
## cm     : altura (cm);
## kg     : Peso (kg);
## apps   : Vezes que jogou como titular (vezes que jogou como substituto);
## goal   : Gols feitos;
## a      : Assistências ou passes para gol;
## yel    : Número de cartões amarelos;
## red    : Número de cartões vermelhos;
## spg    : Chutes a gol por partida;
## ps     : Porcentagem de passes com sucesso;
## aw     : Duelos aéreos ganho por jogo;
## mom    : Man of the match (homem da partida)??
## rt     : Average rating;
##=============================================================================
country	team	name	pos	age	cm	kg	apps	goal	ass	yel	red	spg	ps	aw	mom	rt
Netherlands	AZ Alkmaar	Yves de Winter	GK	26	188	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Fiorentina	Juan Guillermo Cuadrado	D(R),M(CLR)	25	176	66	24(1)	5	3	6	1	2.6	84.3	0.4	5	7.51
Italy	Fiorentina	Giuseppe Rossi	AM(L),FW	27	173	72	18	14	3	1	NA	3.3	82.3	0.6	2	7.44
Italy	Fiorentina	Stefan Savic	D(C)	23	186	73	27	NA	NA	4	NA	0.1	89.3	4.1	2	7.39
Italy	Fiorentina	Gonzalo Rodríguez	D(C)	29	182	79	26	2	1	12	NA	0.5	85.4	2.3	2	7.33
Italy	Fiorentina	Borja Valero	M(CLR)	29	175	73	25(1)	5	7	4	1	1.8	87.9	0.3	2	7.2
Italy	Fiorentina	Alberto Aquilani	M(C)	29	186	77	25	4	1	7	NA	1.6	87	1.2	2	7.11
Italy	Fiorentina	Facundo Roncaglia	D(CR)	27	179	76	9(2)	NA	NA	2	NA	1.1	86.6	1.2	NA	6.99
Italy	Fiorentina	Nenad Tomovic	D(CLR)	26	184	79	19(1)	NA	1	4	NA	0.2	83.3	2.3	NA	6.99
Italy	Fiorentina	Neto	GK	24	191	83	31	NA	NA	2	NA	NA	61.2	0.3	2	6.98
Italy	Fiorentina	Manuel Pasqual	D(L),M(L)	32	178	71	21	NA	3	3	NA	1	85.4	1	NA	6.94
Italy	Fiorentina	David Pizarro	DM(C)	34	170	65	18(3)	1	1	4	1	0.9	90.9	0.2	1	6.93
Italy	Fiorentina	Matías Fernández	AM(C)	27	178	72	11(10)	3	3	1	NA	1.3	93.1	0.3	NA	6.92
Italy	Fiorentina	Modibo Diakité	D(CR)	27	192	84	6	NA	NA	NA	1	NA	85.8	1.5	NA	6.92
Italy	Fiorentina	Marcos Alonso	D(L)	23	188	81	1(2)	NA	NA	NA	NA	1.7	79.7	3.3	NA	6.88
Italy	Fiorentina	Massimo Ambrosini	DM(C)	36	182	72	14(4)	NA	NA	6	NA	0.5	88.7	2.7	NA	6.88
Italy	Fiorentina	Joaquín	AM(CR)	32	179	75	14(8)	2	2	NA	NA	0.8	88	0.4	NA	6.78
Italy	Fiorentina	Marvin Compper	D(CL)	28	185	80	8(1)	NA	NA	3	NA	0.1	90.3	1.7	NA	6.74
Italy	Fiorentina	Juan Vargas	M(CL)	30	180	77	11(8)	4	NA	NA	NA	1.3	82.1	1.3	1	6.71
Italy	Fiorentina	Mario Gomez	FW	28	189	88	5(4)	3	1	1	NA	1.4	70.5	1.1	NA	6.69
Italy	Fiorentina	Alessandro Matri	FW	29	183	80	9(2)	3	2	2	NA	2	64.4	0.6	1	6.58
Italy	Fiorentina	Josip Ilicic	AM(CLR),FW	26	190	79	8(8)	2	1	1	NA	1.6	83	0.1	NA	6.57
Italy	Fiorentina	Rafal Wolski	M	21	179	66	4(6)	1	NA	2	NA	0.6	73.8	0.3	NA	6.44
Italy	Fiorentina	Matias Vecino	M(C)	22	187	81	1(5)	NA	1	NA	NA	0.3	77.2	1.2	NA	6.43
Italy	Fiorentina	Anderson	DM(C)	25	176	69	4(2)	NA	NA	NA	NA	0.3	80.2	NA	NA	6.34
Italy	Fiorentina	Ryder	FW	21	179	71	1(17)	NA	NA	3	NA	0.4	88.1	0.3	NA	6.21
Italy	Fiorentina	Marko Bakic	M(C)	20	185	73	1(1)	NA	NA	NA	NA	NA	90.5	0.5	NA	6.1
Italy	Fiorentina	Oleksandr Iakovenko	M	26	182	74	0(3)	NA	NA	NA	NA	NA	77.8	0.3	NA	6.1
Italy	Fiorentina	Ante Rebic	FW	20	182	80	0(3)	NA	NA	1	NA	0.3	61.5	0.3	NA	6.01
Italy	Fiorentina	Ruben Olivera	AM(CL)	30	184	84	0(1)	NA	NA	NA	NA	NA	100	NA	NA	5.99
Italy	Fiorentina	Antonio Rosati	GK	30	194	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Fiorentina	Cristiano Lupatelli	GK	35	189	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Fiorentina	Gustavo Munúa	GK	36	188	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Fiorentina	Lorenzo Venuti	D	18	176	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Fiorentina	Nicolò Fazzi	FW	19	183	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	FC Porto	Alex Sandro	D(L)	23	177	75	6	NA	NA	2	NA	1	79.6	1.3	2	7.8
Portugal	FC Porto	Danilo	D(R)	22	184	74	6	NA	2	NA	NA	1.5	79.9	1.2	NA	7.53
Portugal	FC Porto	Maicon	D(C)	25	190	74	2	NA	NA	NA	NA	0.5	79.2	5	NA	7.25
Portugal	FC Porto	Fernando	DM(C)	26	183	76	6	NA	NA	1	NA	0.8	89.3	0.8	NA	7.21
Portugal	FC Porto	Lucho González	M(C)	33	185	75	6	2	NA	2	NA	2.3	81.4	0.5	NA	7.11
Portugal	FC Porto	Jackson Martinez	FW	27	184	75	6	2	NA	2	NA	4.3	73.4	3.8	NA	7.04
Portugal	FC Porto	Josué	M	23	174	70	6	NA	1	2	NA	1.7	81.2	0.2	NA	6.83
Portugal	FC Porto	Eliaquim Mangala	D(C)	23	187	74	6	NA	1	2	NA	1	87	1.8	NA	6.75
Portugal	FC Porto	Silvestre Varela	AM(LR)	29	180	75	4(2)	NA	NA	1	NA	2.7	83.7	0.8	NA	6.73
Portugal	FC Porto	Nicolás Otamendi	D(C)	26	183	75	4	NA	NA	NA	NA	1	83.2	1	NA	6.59
Portugal	FC Porto	Licá	FW	25	180	71	3(3)	NA	NA	NA	NA	0.8	79.5	0.5	NA	6.47
Portugal	FC Porto	Steven Defour	DM(C)	25	173	64	4(1)	NA	NA	1	NA	0.6	90	0.4	NA	6.47
